sp lt dt diaml1 diaml2 diaml3 diamd1 diamd2 diamd3 hmean hmax dim1 dim2 hmd UTM_X UTM_Y name
O.lan 11 4 3.47 2.76 2.14 1.78 1.48 1.47 114 178 186 222 60 687905 4162055 RS172
O.lan 10 6 4.06 2.65 2.54 7.15 6.32 4.81 130 210 269 280 230 687894 4162010 RS180
O.lan 16 4 6.25 3.47 3.18 6.28 4.6 4.2 160 210 367 255 170 687901 4161997 RS183
O.lan 9 1 2.57 2.41 2.38 0.74 NA NA 104 130 170 153 6 687894 4161986 RS185
O.lan 10 4 3.06 2.6 2.75 4.05 3.02 2.05 130 210 28 268 138 687889 4161979 RS186
O.lan 7 4 2.22 1.91 1.87 3.75 3.7 3.56 100 140 176 195 133 687894 4161974 RS187
O.lan 16 4 4.17 3.75 3.49 7.99 4.83 3.14 140 160 218 238 218 687890 4161967 RS188
O.lan 6 4 3.91 2.93 2.55 3.45 3.18 2.44 116 165 160 161 130 687896 4161963 RS189
O.lan 10 4 3.51 2.28 1.82 0.88 1.62 0.94 118 190 189 194 140 687909 4161941 RS191
O.lan 5 5 2.6 2.56 1.76 2.39 2.11 1.93 122 175 140 123 106 687907 4161930 RS192
O.lan 8 4 2.07 1.86 1.58 1.9 1.88 1.67 120 135 138 104 77 687907 4161930 RS192
O.lan 6 5 1.35 1.16 1.05 2.55 2.48 2.21 50 77 98 68 126 687901 4161911 RS193
O.lan 9 4 1.6 1.34 1.31 2.64 1.57 1.49 84 103 99 115 93 687901 4161911 RS193
O.lan 3 1 0.99 0.93 0.91 1.19 NA NA 43 60 52 58 48 687904 4161906 RS194
O.lan 18 8 3.34 3.12 2.71 4.25 4.07 3.74 133 165 275 288 205 687904 4161884 RS196
O.lan 7 7 1.61 1.29 1.19 5.44 1.57 1.39 64 76 100 102 92 687897 4161883 RS197
O.lan 10 2 2.18 1.98 1.62 3.96 3.11 NA 104 134 164 154 201 687897 4161883 RS197
O.lan 3 1 2.43 1.77 1.26 2.18 NA NA 94 112 116 108 120 620359 4231871 RS390
O.lan 5 7 1.09 0.91 0.76 2.77 1.53 1.42 62 74 48 56 86 620362 4231872 RS391
O.lan 4 3 1.8 1.68 1.19 2.66 1.93 1.17 100 122 140 106 168 620370 4231866 RS392
O.lan 4 4 1.32 1.3 0.92 1.88 1.76 1.52 76 88 105 53 94 620370 4231866 RS392
O.lan 14 6 2.52 1.35 1.28 3.78 2.79 2.38 70 94 88 100 163 620370 4231866 RS392
O.lan 4 7 4.51 4.4 3.42 1.07 0.98 0.75 184 222 129 165 76 691474 4164146 RS72
P.ang 13 3 0.94 0.91 0.84 0.55 0.48 0.36 38 43 55 89 17 690844 4162655 RS100
P.ang 6 6 1.51 1.19 1.18 1.56 1.49 1.24 50 75 98 57 50 690837 4162591 RS104
P.ang 10 4 0.74 0.73 0.68 1.46 1.08 0.49 54 69 75 69 25 690837 4162591 RS104
P.ang 19 16 1.93 1.09 1.03 1.81 0.94 0.8 86 106 190 145 24 690837 4162591 RS104
P.ang 23 4 3.59 1.48 1.43 1.6 1.25 1.08 48 64 215 127 37 690662 4162541 RS117
P.ang 17 6 1.68 1.36 1.08 1.45 1.09 0.83 74 96 160 148 73 690667 4162564 RS119
P.ang 5 2 1.84 1.84 1.39 1.83 1.21 NA 43 69 117 83 71 687821 4161925 RS134
P.ang 7 3 1.01 0.82 0.69 1.87 1.68 0.69 98 63 113 56 77 687808 4161927 RS136
