sp lt dt diaml1 diaml2 diaml3 diamd1 diamd2 diamd3 hmean hmax dim1 dim2 hmd name
T.art 2 1 2.29 1.18 NA NA NA NA 82 82 107 80 NA NQ128
T.art 1 0 3.36 NA NA NA NA NA 127 127 82 81 NA NQ128
T.art 1 0 3.94 NA NA NA NA NA 185 185 99 92 NA NQ128
T.art 1 0 1.65 NA NA NA NA NA 102 102 58 69 NA NQ128
T.art 1 0 2.32 NA NA NA NA NA 131 131 71 72 NA NQ128
T.art 5 1 0.79 0.78 0.62 NA NA NA 52 52 54 36 NA NQ128
T.art 2 1 2.64 1.78 NA NA NA NA 76 76 83 80 NA NQ128
T.art 2 2 0.48 0.26 NA NA NA NA 22 22 19 17 NA NQ129
T.art 2 0 2.95 1.13 NA NA NA NA 75 75 85 71 NA NQ129
T.art 1 0 2.28 NA NA NA NA NA 45 45 70 47 NA NQ129
T.art 2 0 0.28 0.19 NA NA NA NA 11 11 13 8 NA NQ129
T.art 3 0 0.38 0.22 0.21 NA NA NA 20 20 14 13 NA NQ129
T.art 1 0 1.33 NA NA NA NA NA 32 32 32 38 NA NQ129
T.art 3 0 0.44 0.22 0.17 NA NA NA 24 24 15 19 NA NQ129
T.art 1 0 1.63 NA NA NA NA NA 42 42 48 38 NA NQ129
R.lyc 1 0 1.72 NA NA NA NA NA 73 73 116 109 NA NQ130
P.len 3 0 2.31 1.37 0.68 NA NA NA 90 115 124 97 NA NQ131
P.len 2 0 4.74 2.14 NA NA NA NA 106 133 232 210 NA NQ131
C.hum 16 0 NA NA NA NA NA NA 174 197 318 303 NA NQ131
P.len 1 0 0.93 NA NA NA NA NA 73 73 41 36 NA NQ131
R.lyc 2 0 5.16 1.96 NA NA NA NA 206 247 283 163 NA NQ132
R.lyc 5 0 3.48 3.37 1.74 NA NA NA 164 245 239 272 NA NQ132
R.lyc 2 0 1.87 1,85 NA NA NA NA 170 197 218 185 NA NQ132
P.len 1 0 6.88 NA NA NA NA NA 190 250 366 350 NA NQ132
C.hum 8 1 NA NA NA NA NA NA 90 121 227 153 NA NQ133
C.hum 1 0 NA NA NA NA NA NA 128 128 116 84 NA NQ133
C.hum 11 0 NA NA NA NA NA NA 94 118 258 190 NA NQ133
C.hum 12 3 NA NA NA NA NA NA 122 150 255 218 NA NQ133
C.hum 14 3 NA NA NA NA NA NA 120 161 247 267 NA NQ133
C.hum 4 0 NA NA NA NA NA NA 80 112 151 158 NA NQ133
C.hum 3 0 NA NA NA NA NA NA 150 180 285 202 NA NQ133
C.hum 7 0 NA NA NA NA NA NA 82 101 213 164 NA NQ134
C.hum 18 0 NA NA NA NA NA NA 74 109 274 186 NA NQ134
C.hum 10 1 NA NA NA NA NA NA 80 118 198 177 NA NQ134
R.lyc 4 0 4.12 1.23 0.69 NA NA NA 140 226 228 202 NA NQ134
C.hum 5 4 NA NA NA NA NA NA 38 56 116 102 NA NQ134
C.hum 11 1 NA NA NA NA NA NA 98 121 244 262 NA NQ134
C.hum 6 0 NA NA NA NA NA NA 80 96 163 117 NA NQ134
O.ole 4 0 7.97 7.84 6.63 NA NA NA 248 365 438 476 NA NQ135
M.sen 13 0 8.06 4.42 3.57 NA NA NA 200 260 350 423 NA NQ136
P.ang 8 0 2.68 2.42 1.22 NA NA NA 64 70 163 180 NA NQ137
M.sen 8 2 0.66 0.38 0.35 NA NA NA 24 34 63 54 NA NQ137
M.sen 11 0 3.38 3.27 2.41 NA NA NA 146 173 235 226 NA NQ137
M.sen 1 0 1.05 NA NA NA NA NA 50 50 78 53 NA NQ137
M.sen 7 0 2.37 2.24 2.13 NA NA NA 66 95 160 163 NA NQ138
P.ang 11 0 5.51 4.03 3.72 NA NA NA 120 142 257 282 NA NQ138
M.sen 12 0 3.67 3.42 2.51 NA NA NA 106 130 342 306 NA NQ139
M.sen 17 0 5.65 5.12 4.47 NA NA NA 185 265 400 430 NA NQ140
M.sen 8 0 2.25 1.98 1.22 NA NA NA 82 124 209 147 NA NQ141
M.sen 8 0 6.53 5.98 4.95 NA NA NA 180 220 182 353 NA NQ142
M.sen 15 0 8.98 7.15 5.78 NA NA NA 190 228 450 410 NA NQ143
M.sen 11 0 3.72 2.91 2.43 NA NA NA 154 170 392 228 NA NQ144
O.ole 10 0 8.06 6.36 5.64 NA NA NA 200 280 396 455 NA NQ145
M.sen 7 0 2.31 2.22 1.27 NA NA NA 140 176 281 201 NA NQ146
M.sen 8 0 5.63 5.51 5.34 NA NA NA 186 252 303 326 NA NQ147
M.sen 4 0 3.21 2.31 1.98 NA NA NA 80 104 192 156 NA NQ148
M.sen 3 0 5.28 4.44 3.32 NA NA NA 150 168 262 188 NA NQ148
